2023-04-11 22:51:47 - r - INFO: - Hyperparameters:
2023-04-11 22:51:47 - r - INFO: - ================================================================================
2023-04-11 22:51:47 - r - INFO: -         Name        	       Value        	        Type        
2023-04-11 22:51:47 - r - INFO: -       env_name      	   HalfCheetah-v3   	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -     new_step_api    	         1          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -       wrapper       	        None        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -        render       	         0          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -     render_mode     	     rgb_array      	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      algo_name      	        DDPG        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -         mode        	       train        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      mp_backend     	         mp         	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -         seed        	         0          	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -        device       	        cpu         	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      train_eps      	        5000        	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -       test_eps      	         20         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -       eval_eps      	         10         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -   eval_per_episode  	        100         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -      max_steps      	        200         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -   load_checkpoint   	         0          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -      load_path      	       tasks        	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       show_fig      	         0          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -       save_fig      	         1          	   <class 'bool'>   
2023-04-11 22:51:47 - r - INFO: -        gamma        	        0.99        	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -      critic_lr      	       0.001        	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -       actor_lr      	       0.0001       	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -     buffer_size     	      1000000       	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -      batch_size     	        128         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -         tau         	       0.005        	  <class 'float'>   
2023-04-11 22:51:47 - r - INFO: -  critic_hidden_dim  	        300         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -   actor_hidden_dim  	        300         	   <class 'int'>    
2023-04-11 22:51:47 - r - INFO: -       task_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       res_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/results	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       log_dir       	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/logs	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -       traj_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/traj	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: -      video_dir      	/home/chaoqun/joyrl-offline/tasks/Train_HalfCheetah-v3_DDPG_20230411-225147/videos	   <class 'str'>    
2023-04-11 22:51:47 - r - INFO: - ================================================================================
2023-04-11 22:51:48 - r - INFO: - action_bound: 1.0
2023-04-11 22:51:48 - r - INFO: - n_states: 17, n_actions: 6
2023-04-11 22:51:48 - r - INFO: - Start training!
2023-04-11 22:51:48 - r - INFO: - Env: HalfCheetah-v3, Algorithm: DDPG, Device: cpu
2023-04-11 22:52:24 - r - INFO: - Episode: 41/5000, Reward: -77.439, Step: 200
2023-04-11 22:52:25 - r - INFO: - Episode: 42/5000, Reward: 45.467, Step: 200
2023-04-11 22:52:26 - r - INFO: - Episode: 43/5000, Reward: -66.887, Step: 200
2023-04-11 22:52:28 - r - INFO: - Episode: 44/5000, Reward: 7.816, Step: 200
2023-04-11 22:52:29 - r - INFO: - Episode: 45/5000, Reward: -32.197, Step: 200
2023-04-11 22:52:29 - r - INFO: - Episode: 46/5000, Reward: 44.332, Step: 200
2023-04-11 22:52:30 - r - INFO: - Episode: 47/5000, Reward: -92.306, Step: 200
2023-04-11 22:52:32 - r - INFO: - Episode: 48/5000, Reward: -67.858, Step: 200
2023-04-11 22:52:33 - r - INFO: - Episode: 49/5000, Reward: 13.162, Step: 200
2023-04-11 22:52:34 - r - INFO: - Episode: 50/5000, Reward: -26.960, Step: 200
2023-04-11 22:52:35 - r - INFO: - Episode: 51/5000, Reward: 46.759, Step: 200
2023-04-11 22:52:36 - r - INFO: - Episode: 52/5000, Reward: -18.168, Step: 200
2023-04-11 22:52:36 - r - INFO: - Episode: 53/5000, Reward: -12.214, Step: 200
2023-04-11 22:52:37 - r - INFO: - Episode: 54/5000, Reward: 69.623, Step: 200
2023-04-11 22:52:38 - r - INFO: - Episode: 55/5000, Reward: 33.355, Step: 200
2023-04-11 22:52:39 - r - INFO: - Episode: 56/5000, Reward: 113.460, Step: 200
2023-04-11 22:52:40 - r - INFO: - Episode: 57/5000, Reward: 79.113, Step: 200
2023-04-11 22:52:41 - r - INFO: - Episode: 58/5000, Reward: -10.308, Step: 200
2023-04-11 22:52:42 - r - INFO: - Episode: 59/5000, Reward: 112.200, Step: 200
2023-04-11 22:52:43 - r - INFO: - Episode: 60/5000, Reward: 163.839, Step: 200
2023-04-11 22:52:44 - r - INFO: - Episode: 61/5000, Reward: 40.007, Step: 200
2023-04-11 22:52:45 - r - INFO: - Episode: 62/5000, Reward: 64.274, Step: 200
2023-04-11 22:52:45 - r - INFO: - Episode: 63/5000, Reward: 1.217, Step: 200
2023-04-11 22:52:46 - r - INFO: - Episode: 64/5000, Reward: 40.336, Step: 200
2023-04-11 22:52:47 - r - INFO: - Episode: 65/5000, Reward: -15.296, Step: 200
2023-04-11 22:52:48 - r - INFO: - Episode: 66/5000, Reward: 54.483, Step: 200
2023-04-11 22:52:49 - r - INFO: - Episode: 67/5000, Reward: -8.380, Step: 200
2023-04-11 22:52:50 - r - INFO: - Episode: 68/5000, Reward: 3.055, Step: 200
2023-04-11 22:52:51 - r - INFO: - Episode: 69/5000, Reward: -6.942, Step: 200
2023-04-11 22:52:52 - r - INFO: - Episode: 70/5000, Reward: 7.367, Step: 200
2023-04-11 22:52:53 - r - INFO: - Episode: 71/5000, Reward: -53.413, Step: 200
2023-04-11 22:52:53 - r - INFO: - Episode: 72/5000, Reward: -23.652, Step: 200
2023-04-11 22:52:54 - r - INFO: - Episode: 73/5000, Reward: -40.539, Step: 200
2023-04-11 22:52:55 - r - INFO: - Episode: 74/5000, Reward: 48.972, Step: 200
2023-04-11 22:52:56 - r - INFO: - Episode: 75/5000, Reward: 2.412, Step: 200
2023-04-11 22:52:57 - r - INFO: - Episode: 76/5000, Reward: 7.080, Step: 200
2023-04-11 22:52:58 - r - INFO: - Episode: 77/5000, Reward: 40.302, Step: 200
2023-04-11 22:52:59 - r - INFO: - Episode: 78/5000, Reward: 43.132, Step: 200
2023-04-11 22:53:00 - r - INFO: - Episode: 79/5000, Reward: -55.399, Step: 200
2023-04-11 22:53:00 - r - INFO: - Episode: 80/5000, Reward: 79.572, Step: 200
